задача1|цукенгавывапрорпавывапр|еда|5|1734544200|0
задача2|уапрпавывапррпауцывапртпавывмитрпакуывами|еда|3|1734525000|0
задача3|вапрорпаввкрпавыукеннеку|еда|5|1734499800|0
задача4|ваправывапрорпаапрорпавывуакпр|Чтение|3|1734586200|0
задача5|чтение 2 книги|Чтение|4|1735277400|0
задача5|вапрпавапрорпав|игры|5|1733808600|0
задача6|Поиграть в кс|игры|5|1733895000|0
задача7|поиграть в дотан|игры|5|1733635800|0
задача8|поиграть в гта|игры|3|1735363800|0
задача9|Росомаха|Фильмы|3|1738357200|0
задача10|Росомаха 2|Фильмы|5|1738357200|0
задача11|Росомаха 3|Фильмы|1|1738357200|0
задача12|дедпул|Фильмы|5|1738357200|0
задача13|Дедпул2|Фильмы|2|1738357200|0
задача14|сделать бутик|еда|1|1738530000|0
задача15|сходить в магаз|еда|3|1738530000|0
